类别,科目编码,科目名称,余额方向,说明
权益,4104.02,提取任意盈余公积,借,
权益,4104.03,应付现金股利,借,
权益,4104.04,转作股本的股利,借,
权益,4104.05,盈余公积补亏,借,
权益,4104.06,未分配利润,借/贷,
权益,4201,库存股,借,回购本公司股票
五、成本类,,,,
成本,5001,生产成本,借,开启“产品/订单”辅助核算
成本,5001.01,基本生产成本,借,
成本,5001.01.01,直接材料,借,
成本,5001.01.02,直接人工,借,
成本,5001.01.03,制造费用转入,借,
成本,5001.02,辅助生产成本,借,
成本,5101,制造费用,借,开启“车间/部门”辅助核算
成本,5101.01,职工薪酬,借,车间管理人员工资社保
成本,5101.02,折旧费,借,车间设备、厂房折旧
成本,5101.03,修理费,借,
成本,5101.04,机物料消耗,借,
成本,5101.05,水电费,借,
成本,5101.06,办公费,借,
成本,5101.07,劳动保护费,借,
成本,5101.08,季节性停工损失,借,
成本,5301,研发支出,借,必须开启“研发项目”辅助核算
成本,5301.01,费用化支出,借,期末转入6604
成本,5301.01.01,人员人工,借,
成本,5301.01.02,直接投入,借,
成本,5301.01.03,折旧费用,借,
成本,5301.01.04,无形资产摊销,借,
成本,5301.01.05,新产品设计费,借,
成本,5301.01.06,其他相关费用,借,
成本,5301.02,资本化支出,借,达到预定用途转入无形资产
成本,5401,工程施工,借,建筑承包商专用
成本,5401.01,合同成本,借,
成本,5401.02,间接费用,借,
成本,5401.03,毛利,借/贷,
六、损益类,,,,
损益,6001,主营业务收入,贷,
损益,6001.01,产品销售,贷,
损益,6001.02,服务收入,贷,
损益,6001.03,建造合同收入,贷,
损益,6051,其他业务收入,贷,
损益,6051.01,材料销售,贷,
损益,6051.02,出租固定资产,贷,
损益,6051.03,出租无形资产,贷,
损益,6051.04,包装物出租,贷,
损益,6101,公允价值变动损益,借/贷,
损益,6111,投资收益,借/贷,
损益,6111.01,股票投资收益,借/贷,
损益,6111.02,债券投资收益,借/贷,
损益,6111.03,长期股权投资收益,借/贷,
损益,6111.04,理财产品收益,借/贷,
损益,6301,营业外收入,贷,
损益,6301.01,非流动资产毁损报废利得,贷,
损益,6301.02,盘盈利得,贷,
损益,6301.03,捐赠利得,贷,
损益,6301.04,确实无法支付的应付款项,贷,
损益,6401,主营业务成本,借,
损益,6402,其他业务成本,借,
损益,6402.01,材料销售成本,借,
损益,6402.02,出租资产折旧/摊销,借,
损益,6403,税金及附加,借,
损益,6403.01,消费税,借,
损益,6403.02,城建税,借,
损益,6403.03,教育费附加,借,
损益,6403.04,房产税,借,
损益,6403.05,土地使用税,借,
损益,6403.06,车船税,借,
损益,6403.07,印花税,借,
损益,6403.08,环境保护税,借,
损益,6601,销售费用,借,
损益,6601.01,职工薪酬,借,销售人员工资、社保、福利
损益,6601.01.01,工资奖金,借,
损益,6601.01.02,社保公积金,借,
损益,6601.01.03,福利费,借,
损益,6601.02,业务费,借,
损益,6601.02.01,业务招待费,借,限额扣除
损益,6601.02.02,业务宣传费,借,
损益,6601.02.03,销售佣金,借,
损益,6601.02.04,招投标费,借,
损益,6601.03,广告及展览费,借,
损益,6601.03.01,媒体广告费,借,
损益,6601.03.02,展会费,借,
损益,6601.03.03,促销费,借,
损益,6601.04,运输及物流费,借,
损益,6601.04.01,运杂费,借,
损益,6601.04.02,包装费,借,
损益,6601.04.03,仓储费,借,
损益,6601.05,售后服务费,借,
损益,6601.05.01,质保金/保修费,借,
损益,6601.05.02,维修材料费,借,
损益,6601.05.03,外包服务费,借,
损益,6601.06,折旧及摊销,借,销售机构资产
损益,6601.07,差旅费,借,
损益,6601.07.01,交通费,借,
损益,6601.07.02,住宿费,借,
损益,6601.07.03,出差补贴,借,
损益,6601.08,办公及会议费,借,
损益,6601.08.01,办公用品,借,
损益,6601.08.02,会议费,借,
损益,6601.08.03,通讯费,借,
损益,6601.09,租赁费,借,门店、仓库租金
损益,6601.1,保险费,借,运输险、产品责任险
损益,6602,管理费用,借,
损益,6602.01,职工薪酬,借,管理人员工资、社保、福利
损益,6602.01.01,工资奖金,借,
损益,6602.01.02,社保公积金,借,
损益,6602.01.03,董事会费,借,董事津贴、会议费
损益,6602.02,办公及会务费,借,
损益,6602.02.01,办公用品,借,
损益,6602.02.02,印刷出版费,借,
损益,6602.02.03,会议费,借,
损益,6602.02.04,邮电通讯费,借,
损益,6602.02.05,水电物业费,借,
损益,6602.02.06,绿化环卫费,借,
损益,6602.03,差旅费,借,
损益,6602.03.01,交通费,借,
损益,6602.03.02,住宿费,借,
损益,6602.03.03,出差补贴,借,
损益,6602.04,业务招待费,借,限额扣除，重点监控
损益,6602.05,咨询及中介费,借,
损益,6602.05.01,法律顾问费,借,
损益,6602.05.02,审计费,借,
损益,6602.05.03,管理咨询费,借,
损益,6602.05.04,评估费,借,
损益,6602.05.05,税务代理费,借,
损益,6602.06,折旧及摊销,借,管理机构资产
损益,6602.06.01,固定资产折旧,借,
损益,6602.06.02,无形资产摊销,借,
损益,6602.06.03,长期待摊费用摊销,借,
损益,6602.07,修理费,借,
损益,6602.07.01,房屋修缮费,借,
损益,6602.07.02,设备维修费,借,
损益,6602.07.03,车辆维修费,借,公车运维费
损益,6602.08,党建及团委经费,借,国企特色
损益,6602.08.01,党组织工作经费,借,工资总额1%
损益,6602.08.02,共青团工作经费,借,
损益,6602.09,安全及环保费,借,管理层面的安环支出
损益,6602.09.01,安全生产费,借,
损益,6602.09.02,环境保护费,借,
损益,6602.1,税金,借,房产税、车船税、印花税等（若不计提）
损益,6602.11,存货盘亏及毁损,借,管理不善造成
损益,6602.12,其他,借,
损益,6602.12.01,低值易耗品摊销,借,
损益,6602.12.02,劳动保护费,借,
损益,6602.12.03,残疾人保障金,借,
损益,6602.12.04,协会会费,借,
损益,6602.12.05,诉讼费,借,
损益,6604,研发费用,借,独立一级科目，对标加计扣除
损益,6604.01,人员人工费用,借,
损益,6604.01.01,基本工资,借,
损益,6604.01.02,奖金/绩效,借,
损益,6604.01.03,五险一金(单位),借,
损益,6604.01.04,劳务派遣费,借,
损益,6604.01.05,外聘专家劳务费,借,
损益,6604.02,直接投入费用,借,
损益,6604.02.01,原材料/辅料,借,
损益,6604.02.02,燃料动力费,借,
损益,6604.02.03,试制产品检验费,借,
损益,6604.02.04,样品样机购置费,借,
损益,6604.02.05,试剂耗材,借,
损益,6604.02.06,租赁费,借,
损益,6604.03,折旧费用,借,
损益,6604.03.01,仪器设备折旧,借,可加计扣除
损益,6604.03.02,共用设备分摊折旧,借,需附分摊表
损益,6604.03.03,建筑物折旧,借,不可加计扣除，仅会计列支
损益,6604.04,无形资产摊销,借,
损益,6604.04.01,软件摊销,借,可加计扣除
损益,6604.04.02,专利权摊销,借,
损益,6604.04.03,土地使用权摊销,借,不可加计扣除
损益,6604.05,新产品设计费等,借,
损益,6604.05.01,新产品设计费,借,
损益,6604.05.02,技术图书资料费,借,
损益,6604.05.03,资料翻译费,借,
损益,6604.06,其他相关费用,借,总额不得超过10%
损益,6604.06.01,研发差旅费,借,
损益,6604.06.02,研发会议费,借,
损益,6604.06.03,专家咨询费,借,
损益,6604.06.04,知识产权申请费,借,
损益,6604.06.05,研发保险费,借,
损益,6604.06.06,研发办公费,借,
损益,6604.07,委托外部研发费用,借,内部统计，按80%计入基数
损益,6701,资产减值损失,借,
损益,6701.01,坏账损失,借,
损益,6701.02,存货跌价损失,借,
损益,6701.03,固定资产减值损失,借,
损益,6711,营业外支出,借,
损益,6711.01,非流动资产毁损报废损失,借,
损益,6711.02,盘亏损失,借,
损益,6711.03,捐赠支出,借,公益性捐赠
损益,6711.04,罚款支出,借,行政罚款、滞纳金
损益,6711.05,非常损失,借,自然灾害等
损益,6801,所得税费用,借,
损益,6801.01,当期所得税费用,借,
损益,6801.02,递延所得税费用,借/贷,
损益,6901,以前年度损益调整,借/贷,年末转入利润分配，无余额
